annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;Unnamed: 25;boule_6;boule_complementaire;nombre_de_gagnant_au_rang7;rapport_du_rang7;Unnamed: 28;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;Unnamed: 34
20200004;JEUDI;31/12/2020;01/04/2021;47;21;12;8;6;3.0;6-8-12-21-47+3;1;13000000;5;141412,2;163;1414,2;1345;771,2;6713;73,7;54811;40,6;3884681;eur;;;;84412.0;16,4;;699358.0;7,1;996425.0;3;50.0;20000;F 0079 7554,Q 2851 0526,T 8518 5865,A 9323 6985,A 0689 7508,V 6953 2924,L 2079 0784,H 7862 7931,Q 1223 0779,P 7562 8580,U 1302 2795,H 0802 1594,P 8636 4810,K 1435 3955,B 3701 8487,G 1925 9452,D 1083 0284,F 4826 2762,R 7103 6046,J 6263 0242,I 8178 1672,R 7521 0676,B 8142 8038,C 2699 1296,G 0659 0554,U 5199 4365,E 6552 0728,C 2614 3571,G 2863 5217,V 3914 4217,H 5731 3606,D 9559 5968,F 4399 4538,V 8103 9826,M 1142 6076,P 2040 2280,R 2096 7738,J 2378 2091,F 7127 0954,Q 1870 9449,S 0446 0421,B 4125 2454,V 8357 3729,U 4432 1761,H 0684 2302,T 1238 5914,R 8963 0760,B 4433 0439,K 4979 2560,R 8397 6763;
20211001;VENDREDI;12/02/2021;15/04/2021;11;38;31;27;25;1.0;11-25-27-31-38+1;0;13000000;1;446545,6;44;3308,6;700;935,8;2558;122,3;29128;48,3;6470256;eur;;;;36190.0;24,2;;398500.0;7,9;474263.0;3;50.0;20000;O 9720 4498,M 0169 1599,L 9013 7406,S 3208 5699,O 7103 5076,I 2228 9799,U 7120 4116,G 0687 0237,I 2913 3442,H 9151 7727,B 8691 8076,K 7241 1655,A 4984 1203,M 5822 9822,N 0561 6586,I 4403 4131,C 3136 0139,R 6408 5426,K 3150 9683,K 1570 9951,H 5838 8573,B 5633 9002,K 9663 3599,M 8107 6573,T 5664 9661,C 5936 8697,L 5186 4363,T 8258 5458,V 8380 4055,O 3121 3217,N 9035 9848,G 4151 1150,O 0108 4261,R 5781 6429,N 6872 9862,T 2774 3177,H 5560 7926,G 2876 1842,S 1590 8676,R 9736 4423,F 5446 3298,I 5389 4524,V 4997 5979,N 5517 3583,Q 0485 0482,N 2442 9901,O 0273 2906,V 2890 6292,O 7526 4720,T 5841 0135;
20211002;VENDREDI;21/05/2021;20/08/2021;11;43;27;2;20;4.0;2-11-20-27-43+4;0;13000000;7;54662;55;2268,1;644;871,6;3061;87,5;27081;44,5;3643285;eur;;;;39155.0;19,1;;357461.0;7,5;498066.0;3;50.0;20000;R 7496 3656,V 8396 9458,S 7808 8537,H 6071 6401,Q 6782 7490,A 3197 3222,B 5553 3405,I 8115 5263,R 1479 3773,K 9274 7935,F 0827 3413,K 3873 0572,P 7025 5403,G 6732 3371,L 2905 8705,P 5210 5879,O 2367 4720,Q 2633 3394,G 0261 7370,A 3499 5856,G 6546 5617,A 0644 3914,R 5972 8879,D 7812 9261,V 3624 2122,U 3776 5706,H 5258 6215,I 0296 2512,Q 4417 9978,G 8813 7623,Q 3622 8054,F 2190 5171,J 2312 0019,T 1324 0401,D 7391 1326,D 1632 8200,O 1265 6740,K 0973 5179,N 5884 0681,E 5277 5465,I 0963 8402,T 0159 5866,G 7124 4874,J 5018 5441,R 4765 1028,O 1998 8698,Q 0039 2488,R 4526 1311,B 9195 8282,Q 7324 7165;
20211003;VENDREDI;13/08/2021;12/11/2021;7;40;11;48;41;10.0;7-11-40-41-48+10;0;13000000;3;221143;68;3180,7;684;1422,9;3415;136,1;35335;59,2;1455915;eur;;;;52138.0;24,9;;544597.0;8,6;724040.0;3;50.0;20000;H 6788 4998,E 2408 2439,U 0623 4475,E 8471 6144,C 4343 7366,T 9394 4230,Q 0396 9560,A 9963 9934,S 2770 5068,L 7713 4470,I 4972 6843,D 8807 6371,N 6080 3597,E 4625 4544,A 6349 7129,T 5048 9976,T 7381 0335,I 5917 6136,E 2123 8017,H 4659 1138,H 5295 6722,U 3799 7923,K 8044 2709,N 1752 8391,R 9488 4131,D 6403 3825,O 8231 6981,T 9313 7096,P 5019 9643,O 1225 1374,E 9406 2812,T 5928 6469,Q 6636 3549,J 3031 1072,F 7865 7203,C 2359 5798,S 1272 1777,G 5576 7013,I 0009 6554,A 1520 1944,S 9500 8268,A 5441 4294,C 8415 2471,K 0820 5212,R 6935 2990,F 6929 0866,N 0602 9905,V 5197 0845,L 8381 1392,U 2244 5320;
20211004;VENDREDI;31/12/2021;02/03/2022;18;2;11;1;48;7.0;1-2-11-18-48+7;1;13000000;10;74854,2;103;2369,3;1080;1016,8;6596;79,5;49425;47,7;9925757;eur;;;;94097.0;15,6;;701206.0;7,5;1181373.0;3;50.0;20000;D 9403 5359,V 8495 2467,D 9722 0794,M 3283 6860,N 5759 5305,M 9029 8542,V 8475 7781,N 4003 2954,O 6577 4194,V 8206 3613,M 8202 0520,J 4529 3851,C 0627 4550,B 9429 5639,D 2328 1789,R 1172 0948,O 2913 1942,E 1875 1071,L 0550 4654,C 4793 5422,N 6891 2360,P 1737 6223,C 1159 8469,C 4224 0380,U 3010 9477,E 8566 0127,S 4560 2724,U 6398 8278,K 7925 5206,K 7919 2285,J 1902 5753,V 6714 7394,M 3050 9786,I 9643 8090,A 4839 4925,H 7510 5671,L 4191 2635,C 0507 4053,Q 5974 2978,F 6304 2511,Q 6795 3008,J 0808 1538,A 9393 5901,H 4831 8658,G 7755 6282,I 7157 8276,C 3967 7378,N 8421 7347,D 8488 3494,J 2410 9059;
20222001;VENDREDI;01/04/2022;01/06/2022;13;1;30;10;35;10.0;1-10-13-30-35+10;0;13000000;1;512981,1;71;2355,5;838;898;3686;97,5;35996;44,9;1839609;eur;;;;47632.0;21,1;;485145.0;7,4;568414.0;3;50.0;20000;Q 1719 9154,E 8400 9869,L 8621 4826,Q 3373 1062,S 7014 3508,L 1677 0729,M 2706 8313,H 9436 3455,F 8587 2966,Q 0248 0419,M 2633 9102,G 7495 5389,Q 8130 5119,J 3474 4528,H 8115 7241,T 3577 9879,T 5134 3255,F 0729 6303,E 5663 6965,V 8527 5416,B 0823 5213,E 9505 3061,I 5053 3238,I 7563 5518,K 0346 9111,O 4596 7079,F 8507 5024,I 2858 1515,K 0750 5664,C 3074 5866,P 1319 9251,R 8615 0906,S 9082 8421,J 4508 8314,L 0635 6839,Q 2847 5629,F 4277 5192,C 3028 8251,O 2295 4132,M 1167 4274,R 9196 2606,F 5605 5089,M 7614 2212,Q 1282 3623,R 8005 4726,K 3487 2200,H 9777 9110,S 1534 9831,Q 5887 7948,M 1679 7418;
20222002;VENDREDI;13/05/2022;13/07/2022;2;45;10;9;27;1.0;2-9-10-27-45+1;0;13000000;10;87159,6;127;2237,4;1414;904,3;5513;110,7;62110;44,2;0189230;eur;;;;74448.0;22,9;;820245.0;7,5;932167.0;3;50.0;20000;Q 7952 6775,G 8814 9546,Q 1295 2338,R 3891 8292,F 5545 8202,U 2924 7659,L 0531 9501,H 1497 4004,H 1996 2587,S 7752 1778,T 8737 8161,N 7405 4761,Q 9560 8868,O 3981 5329,B 7045 7238,E 9652 4836,G 0581 1070,S 1006 1362,S 8713 1581,N 5799 5935,C 1780 9458,O 1493 0449,A 6983 4527,P 4992 2403,D 8067 9729,P 0634 0234,T 5943 7975,E 8362 2774,D 9773 0190,B 3294 7920,J 2696 9437,L 0022 1922,I 7369 0088,O 5458 1647,R 4536 5680,C 4524 7559,S 9130 8912,M 3404 5699,M 2723 2477,H 9559 4170,A 9535 1695,O 4330 8926,G 1012 6609,K 5806 2495,H 3343 2645,F 1607 7352,T 5508 7163,O 9926 3093,S 0873 7271,D 2180 6669;
20222003;VENDREDI;01/07/2022;31/08/2022;39;2;1;26;48;9.0;1-2-26-39-48+9;0;13000000;2;188505,5;53;2319,1;396;1396,7;2266;116,5;20272;58,6;3491802;eur;;;;34019.0;21,7;;305614.0;8,7;488460.0;3;50.0;20000;C 7273 0900,I 4378 7713,D 2845 0645,K 5191 0808,F 1223 3813,J 4212 7121,P 9618 8877,K 2660 4146,U 1020 9696,V 7308 3918,F 4069 9247,T 2348 6351,O 9268 7885,C 5977 7009,V 5413 9081,V 1855 6942,V 8613 9030,L 8427 1256,S 3394 6131,G 9912 1005,J 2821 6475,C 2251 7119,E 4434 8772,E 3521 2182,R 1592 1264,A 3870 4657,T 6410 5467,S 8190 7482,S 4720 6664,U 9732 4726,K 0427 9621,J 4386 9546,C 6949 4076,R 5433 8075,M 4495 7671,F 6350 1667,D 6994 1444,B 6935 9136,N 1004 4808,F 2307 3057,B 7313 9008,V 2608 7822,O 7808 5819,R 8023 0607,M 2849 3334,G 9491 1974,C 6014 4544,G 8575 3806,B 2721 9842,S 2803 3028;
22004;VENDREDI;16/09/2022;16/12/2022;48;36;30;34;2;10.0;2-30-34-36-48+10;0;13000000,00;0;221055,60;23;12744,50;228;1422,40;1133;135,80;10802;64,00;4781775;eur;;;;16880.0;25,40;;165381.0;9,30;251838.0;3,00;50.0;20000,00;T 8451 4586, L 6683 4761, J 4191 8030, P 3238 0964, I 4520 2515, R 9934 5279, R 1875 7521, P 1613 4855, M 7301 8598, R 2985 7518, G 0033 8136, F 0978 8590, R 2452 4634, C 6596 0014, K 0707 1453, R 7599 2942, R 3408 0558, C 0480 7810, V 1571 5358, M 5827 8516, V 8621 1344, F 4040 7786, H 9176 9679, T 3247 8049, I 8626 0904, C 3261 7823, B 3001 2540, B 3329 3092, M 7956 0585, B 7494 2975, J 4895 1202, U 2768 2982, P 3731 0091, S 3314 0012, O 7967 7998, U 1574 0027, D 6373 0361, M 7732 5499, E 5934 3982, O 4314 4538, F 6695 4095, O 7941 7599, F 5474 8610, N 9711 1782, N 3172 7839, V 5539 0079, Q 1090 1567, M 2171 3412, P 7856 4373, G 8590 2963;
22005;VENDREDI;07/10/2022;06/01/2023;9;16;29;8;40;4.0;8-9-16-29-40+4;0;19000000,00;1;265725,40;40;2165,70;375;1034,00;1950;94,60;16945;49,00;2175623;eur;;;;26821.0;19,20;;238825.0;7,70;347758.0;3,00;50.0;20000,00;I 5340 5783, N 2518 6438, D 0015 0184, R 9541 9497, V 8641 1344, O 2210 1832, I 6471 0033, M 6884 9067, D 5211 1803, B 8750 8708, T 8187 7424, E 5944 5433, V 8640 6022, D 4693 4599, L 5818 8633, L 1744 2192, H 6631 5302, B 3377 6787, K 0176 2968, K 9334 2023, R 1011 8589, D 1929 2597, A 3384 7398, H 2372 7728, C 0313 7999, F 5615 1778, L 0420 2259, R 9621 7924, S 6605 5375, V 8116 8501, V 1160 5533, Q 9542 0987, B 4080 1335, C 4750 2017, E 3399 2933, J 1539 8774, V 8632 8051, M 4118 9765, N 4399 5800, H 0794 2446, O 5470 7827, B 5481 8981, V 8639 6640, V 8649 1832, J 2016 3440, V 8646 9981, L 1796 6067, V 8641 8732, T 6732 4692, I 4454 6948;
23001;VENDREDI;13/01/2023;14/04/2023;20;35;6;25;48;4.0;6-20-25-35-48+4;0;16000000,00;4;209815,00;113;2400,10;961;1275,90;5021;116,50;45227;58,30;4893810;eur;;;;75264.0;21,80;;684416.0;8,60;1116697.0;3,00;50.0;20000,00;J 3873 3308, A 2324 0940, G 7299 1737, H 3420 4749, M 3654 3230, D 5183 9705, T 2832 7771, T 7234 8278, K 5373 7054, I 3611 6684, Q 5004 7460, N 6704 2840, M 0586 5119, H 4183 7646, P 1543 1703, S 3888 7911, T 3988 2947, P 5918 9819, F 1235 9442, U 0908 1643, N 7038 3271, R 5296 5248, E 7379 5488, I 9418 4001, T 8658 8744, S 7018 6208, A 1494 0449, A 2266 3356, L 1788 5215, A 3836 0998, C 0615 5165, B 9297 7094, H 5185 4346, D 8018 7348, S 1934 6463, B 6076 2829, O 5981 0096, M 3055 7704, S 5036 6469, S 0201 1457, L 0556 1096, E 0666 0431, M 6998 7414, F 7920 0840, M 2301 9655, V 4121 4250, V 8677 6818, H 4129 8769, I 0536 9441, K 5058 5946;
23002;MARDI;14/02/2023;16/05/2023;35;48;24;12;21;1.0;12-21-24-35-48+1;0;13000000,00;2;248299,00;53;3054,70;708;1027,50;2821;122,60;31722;49,10;6749297;eur;;;;38844.0;24,90;;430431.0;8,10;536457.0;3,00;50.0;20000,00;C 0056 2023, J 1466 1308, D 5952 8879, J 3523 4028, F 0944 3491, B 7642 5289, A 4733 6418, V 7246 4459, Q 4727 8194, H 1315 8071, V 5885 8783, K 3820 1909, Q 3484 9712, H 4020 2312, F 7151 4242, S 4169 2774, B 3249 0631, J 6244 1743, V 8718 1946, C 8971 2580, U 3624 7993, L 1698 5426, K 3855 8618, I 5998 9761, P 6040 8662, R 7425 7001, V 7690 9314, A 3900 4412, R 7739 3098, P 3574 0342, S 0007 1834, R 6699 3701, V 8705 7240, D 6644 1085, N 3365 9355, M 5185 2987, S 0312 5529, D 6944 2336, J 8921 1671, H 6070 0091, T 3623 6779, S 3615 3180, J 4017 9660, H 1334 7872, L 1323 3849, T 6397 5069, A 9560 5892, H 4861 1514, H 3977 6956, K 7015 6297;
23003;VENDREDI;15/09/2023;15/12/2023;29;2;30;10;46;3.0;2-10-29-30-46+3;0;17000000,00;1;192777,60;33;1904,50;278;1017,30;1449;92,70;12009;50,00;5955529;eur;;;;19282.0;19,40;;168109.0;8,00;266008.0;3,00;50.0;20000,00;E 2401 5792, B 2939 9987, P 0547 4978, T 6736 8567, H 4705 6740, U 8570 2803, B 7489 6600, U 1935 2577, V 8202 5974, I 2317 9922, G 8725 2363, T 3740 4683, T 0490 3116, G 4244 9619, J 5857 2061, N 0668 0518, U 2094 4111, D 4073 7979, E 4954 5264, U 7450 0832, M 1361 1302, I 2631 6693, J 1195 9789, A 4366 8410, Q 1617 7259, R 3667 6026, U 1309 5448, M 0407 9220, M 3423 2962, T 4200 7622, S 6417 2109, T 0521 0432, R 0821 0849, T 1294 2379, A 9050 6010, F 1797 4532, B 0646 5615, B 7487 4326, G 4821 9755, K 5235 0577, Q 7430 8557, N 6471 0690, I 7929 8364, M 6204 5126, Q 5754 1761, V 8734 9048, M 9768 2166, P 4991 8767, G 1262 9876, E 8826 3405;
23004;VENDREDI;13/10/2023;12/01/2024;39;21;7;25;41;6.0;7-21-25-39-41+6;1;13000000,00;8;100582,90;80;3279,10;1168;1009,80;4822;116,60;48159;52,50;6460098;eur;;;;70854.0;22,20;;692979.0;8,10;977580.0;3,00;50.0;20000,00;K 0997 9927, R 6810 3694, P 7623 5780, A 2154 6985, T 0979 5168, I 0461 4077, A 3684 5534, V 2431 8542, T 6192 7545, N 7036 6047, N 8176 2276, V 3173 9347, T 5181 3745, J 0524 6157, F 9940 5520, T 7209 8565, M 4944 9223, Q 4478 4624, K 7959 9808, J 3188 1870, P 7903 3218, B 0546 2306, S 0913 5973, R 2165 4876, L 9053 5388, E 4280 5463, A 6864 8517, J 6716 1520, J 6296 2910, L 7346 3195, M 2696 3913, V 4145 5228, A 2225 8908, L 5652 8731, T 3657 0874, V 5921 7024, F 9124 1074, P 9231 5538, B 0849 2029, O 2474 4989, V 3809 3509, U 8324 1717, F 9070 4936, S 3621 5323, O 6810 7934, J 5834 9888, G 7668 4383, I 6314 1113, S 5464 0065, S 8872 5475;
23005;DIMANCHE;31/12/2023;31/03/2024;30;28;9;10;13;9.0;9-10-13-28-30+9;0;13000000,00;4;133700,60;118;1452,90;1127;693,10;4779;77,90;43609;38,40;5471567;eur;;;;59917.0;17,40;;542409.0;6,90;670733.0;3,00;50.0;20000,00;O 9844 7880, O 6119 8075, L 8863 7580, R 5610 6232, O 7828 0384, A 5807 3373, M 0821 7400, J 1709 3919, G 7980 9924, V 2139 3115, V 0612 3429, O 9808 7714, N 8744 0554, C 1056 3063, D 6061 9407, F 0030 6854, F 8708 1742, O 8715 4520, K 8640 1355, J 8649 6499, J 9507 9059, O 5504 9677, A 3016 0010, J 3754 9298, R 7394 9551, F 6785 3882, P 6787 3280, K 3660 2233, U 7521 1022, V 8778 3740, V 1066 7188, J 0753 6468, E 5637 7680, R 7344 8359, P 9724 1770, A 1036 3635, H 9689 7334, P 5669 0954, L 7685 8991, N 8670 3534, D 6635 1967, M 9511 8884, N 0981 1902, H 2458 2154, K 4766 9935, S 2208 4101, R 4706 3474, P 6601 6347, U 2529 5234, G 5780 7678;
24001;VENDREDI;05/07/2024;04/10/2024;5;7;12;11;3;2.0;3-5-7-11-12+2;0;13000000,00;11;20957,70;92;791,10;946;355,60;2367;67,70;24956;28,90;9254387;eur;;;;25904.0;17,30;;259505.0;6,20;270118.0;3,00;50.0;20000,00;G 3051 4150, H 5015 1400, V 8827 5044, C 1363 6980, C 5944 5157, V 6602 5328, V 8827 1443, T 4133 8900, C 5031 2618, V 7051 7509, M 8092 4506, R 8254 6164, A 3433 2979, D 7742 7909, H 3609 2464, E 5232 3845, D 0370 3655, J 9198 9407, F 7070 8298, V 0757 7354, V 8832 9069, L 4890 4253, O 5064 9930, K 2500 7851, J 2648 7812, T 7299 1629, R 5311 2781, J 2273 2933, A 5392 4406, B 9883 3601, O 4041 8403, R 4610 4395, R 7225 9683, R 5261 7161, V 4702 0001, I 8546 1375, H 4601 0041, V 6837 8074, T 0311 5254, S 9447 3277, G 8300 7857, K 0733 2212, M 3396 0586, V 7101 0772, N 7963 3911, E 8512 0764, D 2069 9392, C 3840 5861, Q 3381 4880, D 4938 1527;
24002;VENDREDI;13/09/2024;13/12/2024;23;19;45;40;18;9.0;18-19-23-40-45+9;0;13000000,00;4;195220,10;110;2293,50;938;1213,50;4831;112,90;42439;57,80;4597506;eur;;;;73533.0;20,70;;653617.0;8,40;1024403.0;3,00;50.0;20000,00;O 8799 2076, E 5785 9623, T 1109 8008, V 7041 5538, E 0826 8995, U 1527 1316, R 8086 5449, E 7869 1671, M 6908 8143, I 4183 0241, M 9498 3963, J 7861 1162, J 1780 0401, J 0733 7682, M 5563 2566, H 7747 2038, H 9055 3362, H 0674 9543, S 8313 8745, F 2001 9699, D 9122 6181, R 4912 3617, S 0692 3928, E 3223 3249, T 4681 7513, G 0574 1209, F 4395 6761, D 8111 1266, N 5680 8192, M 1906 1297, R 5730 8432, V 1092 2813, I 3824 8589, T 2935 1225, C 7456 5539, H 0221 0094, R 8754 0383, B 3268 8718, S 0660 3524, P 6717 4203, M 2496 4019, N 2113 4186, F 1139 2924, R 6410 7334, A 2212 3201, T 3000 5407, G 1543 7554, I 0738 4193, N 1767 8990, C 4645 2605;
24003;JEUDI;31/10/2024;30/01/2025;18;15;3;19;9;9.0;3-9-15-18-19+9;1;13000000,00;1;252363,40;80;1028,40;534;693,30;2521;70,10;20346;39,10;4564576;eur;;;;29686.0;16,60;;256122.0;6,90;319889.0;3,00;50.0;20000,00;H 6838 9056, N 6140 7087, O 2893 5046, V 8895 7015, I 1162 3117, V 2239 3140, H 8844 0459, K 9993 9522, Q 8822 9994, S 9062 0689, D 7603 3458, K 0375 5136, B 9064 6906, C 7799 6520, U 9374 7270, B 9756 3533, Q 2948 5135, T 1918 0845, G 4148 6432, O 8084 8296, O 9992 3518, Q 2945 1635, N 6410 3851, H 7421 4104, T 6992 5752, B 4610 5226, E 9800 0026, G 2117 2203, G 7141 5935, M 2413 2896, D 2414 9515, T 2642 7581, E 4753 7835, C 1739 7425, N 7530 5944, H 8614 4883, J 8676 5540, M 2526 8543, S 7356 3428, P 3374 9943, T 3996 3392, C 2606 6552, V 5339 9533, T 8620 7930, V 8889 8864, A 8744 9493, N 3866 2705, F 0954 4210, E 9393 0194, A 8204 0327;
24004;VENDREDI;13/12/2024;14/03/2025;29;2;4;9;27;4.0;2-4-9-27-29+4;1;13000000,00;12;71927,30;207;1359,40;1861;680,40;8260;73,20;68737;39,50;1661587;eur;;;;101469.0;16,60;;863194.0;7,00;1130551.0;3,00;50.0;20000,00;N 0918 7427, S 3918 3517, J 6962 5679, B 6976 1131, V 8902 7403, U 4543 8960, E 8731 8600, K 7692 1692, S 0570 5970, I 1773 8202, Q 0741 8373, N 6186 3640, L 8168 7221, H 7218 5041, U 3259 4181, V 8919 0442, G 3211 9993, O 6622 8279, J 6045 4342, J 7769 9316, D 7814 3449, D 1119 8955, V 3731 8027, S 8402 5758, K 9090 2190, J 9406 9528, P 2414 8308, P 7116 6610, C 7284 7720, K 7567 8694, P 1174 6183, D 7879 1314, N 9519 9776, R 4023 7955, R 7507 2422, C 9448 3234, G 0568 0918, R 5552 1279, C 3848 5079, S 1258 1496, P 7386 4544, F 5985 8162, C 8607 1611, T 2067 0094, O 4572 8688, K 6886 5744, K 1527 0934, B 7083 7686, N 3184 1433, H 7463 7701;
24005;MARDI;31/12/2024;01/04/2025;23;5;45;24;3;8.0;3-5-23-24-45+8;1;13000000,00;3;178333,90;76;2295,00;721;1088,60;3928;95,40;34593;48,70;6011512;eur;;;;56732.0;18,50;;502291.0;7,50;709416.0;3,00;50.0;20000,00;S 5442 6837, T 3431 9695, M 8427 8528, J 7625 8651, Q 5921 3653, Q 9140 2394, F 5097 7382, E 4249 7632, P 6638 0153, Q 9357 7289, T 2996 1454, L 5720 2718, G 8263 8069, O 6183 4065, J 3139 0591, V 8963 9379, N 7157 2572, V 3622 9634, G 8326 3112, A 1823 3865, H 5275 7936, V 8977 6283, V 4094 1346, U 2164 5593, P 5348 0751, N 3395 7143, R 9081 5714, V 7137 2635, J 1428 7101, I 1189 6938, K 9443 3497, U 5978 8370, M 5430 9469, E 7092 5044, B 2249 5579, S 8637 2665, J 3963 4156, V 6760 4268, C 7626 5136, V 5548 8014, M 4987 7539, M 2573 4527, F 6897 7943, I 9505 9633, B 2616 2523, S 8211 7674, Q 0430 1573, O 7534 4309, I 5412 0206, E 9103 7022;
25001;VENDREDI;14/02/2025;16/05/2025;9;17;45;46;10;3.0;9-10-17-45-46+3;0;13000000,00;5;108124,90;73;2414,40;615;1289,60;3647;103,80;31183;54,60;7361055;eur;;;;56198.0;18,80;;478695.0;7,90;754733.0;3,00;50.0;20000,00;B 9562 8147, O 9923 4432, H 2851 6676, O 9049 0412, C 2208 9331, E 0718 5121, R 7875 8950, N 8387 6445, M 6809 4028, I 9503 7695, V 8994 0311, H 2287 9141, S 2518 6106, D 4125 8296, V 2761 3619, S 0031 4949, S 8193 7151, B 7588 6639, V 8987 8275, T 9087 5055, M 8158 8302, N 8880 7406, L 0633 1738, V 1709 9892, O 2092 7840, Q 6548 7551, M 2057 3932, H 0137 4621, S 6740 4961, B 4739 3606, A 1916 6373, F 0361 3051, G 3095 8823, P 2887 1915, G 9129 3200, S 0204 8594, V 8983 7258, I 7940 0961, A 3006 9316, T 1504 8997, I 6257 2209, P 7201 3822, Q 5174 9519, A 6989 3562, U 0580 3774, T 1676 9211, N 6416 7005, E 2891 9308, P 3600 7363, O 1792 1920;
25002;VENDREDI;13/06/2025;12/09/2025;28;8;19;39;42;9.0;8-19-28-39-42+9;0;13000000,00;14;48463,80;140;1580,00;1349;737,80;4875;97,50;44915;47,60;6301201;eur;;;;67046.0;19,80;;605322.0;7,90;893393.0;3,00;50.0;20000,00;N 3478 6324, E 2823 2321, B 9810 6176, O 0551 3382, U 2009 9467, R 2501 1776, L 7233 2138, C 9791 5305, V 9044 6535, H 0219 3719, B 7800 0840, L 6635 4147, U 3601 0627, M 4061 7946, C 7276 3375, R 2866 7659, V 9034 2659, V 9019 9511, H 6186 7741, V 1010 8028, L 1803 4432, N 2931 3673, S 3404 4231, P 5940 0136, N 5289 7598, H 5674 2920, M 8305 3266, B 8948 1460, V 9038 5437, B 1467 2290, N 3147 6448, J 9806 1740, P 1355 9899, E 8957 5523, O 2416 3544, G 4499 5820, N 0065 9551, H 4388 2292, S 1176 8316, A 2367 2758, V 9023 9860, U 4051 6915, N 4304 3106, R 9489 3040, F 5621 8708, U 3576 4822, G 4101 0002, C 9235 7875, S 3661 6260, R 5843 7259;
25003;VENDREDI;19/09/2025;19/12/2025;37;4;44;30;28;4.0;4-28-30-37-44+4;0;18000000,00;1;207012,60;28;2410,30;269;1129,00;1461;99,20;11967;54,50;4808891;eur;;;;20606.0;19,70;;174030.0;8,40;277086.0;3,00;50.0;20000,00;A 5603 5546, T 9971 7496, A 9484 3134, L 1089 9820, M 5864 6916, L 7147 8931, S 9958 0177, A 6973 5360, O 9522 8237, U 2200 9870, B 8154 8680, T 1178 8999, U 4195 1281, G 7318 6236, E 3485 6767, T 0492 8734, I 1176 2546, M 5293 1508, S 4212 6771, E 8985 2643, B 1123 1073, Q 0883 2248, M 2925 3927, F 4041 5144, B 2412 9118, V 9049 0199, C 7184 3722, G 3288 4904, B 7862 0472, I 1736 0216, C 1738 0698, N 2368 1675, Q 2705 0742, T 7401 5484, R 2942 3697, F 2066 0931, R 7088 0762, D 5900 3758, A 8397 6459, V 9052 5500, G 0851 3944, K 8795 2052, R 3055 0223, R 3111 9071, L 3589 7013, O 3219 4109, H 1001 2951, Q 0175 8444, V 9060 5546, K 5747 7700;
25004;VENDREDI;31/10/2025;30/01/2026;10;36;24;40;26;10.0;10-24-26-36-40+10;0;13000000,00;4;103832,90;63;2149,30;534;1141,00;2386;121,90;23686;55,20;6149481;eur;;;;35495.0;22,90;;345430.0;8,40;478491.0;3,00;50.0;20000,00;G 4124 3150, A 7667 7835, E 9727 1003, G 8680 5031, G 2134 5267, U 5538 4474, T 6376 6158, C 3496 4204, Q 2673 1538, M 5888 9007, D 9980 1958, B 9915 6749, B 2260 0474, T 6070 9595, C 3450 6561, C 2370 7484, K 7383 8334, U 4008 6085, K 4239 9950, N 8997 7047, D 5266 0883, J 0966 9300, S 6888 9372, J 7108 6651, T 6760 5926, S 3359 9625, I 1933 7306, Q 3950 8875, D 0482 5632, F 7007 6554, I 6260 9717, N 7429 5007, G 2486 5408, V 6215 1213, L 1545 2998, J 8115 0388, V 9067 3407, J 3035 2984, C 0029 8174, Q 0484 3675, I 6662 4839, V 9081 1805, J 2494 1994, D 3014 8309, T 0503 7877, P 2030 7209, V 9072 1363, P 0805 3907, F 4555 3258, S 6568 1438;
